_ID_,_VAL_
2,1
3,1
4,1
6,1
7,1
8,1
12,1
13,1
15,1
16,1
17,1
18,1
19,1
26,1
27,1
30,1
33,1
34,1
36,1
37,1
40,1
43,1
44,1
45,1
47,1
51,1
53,1
57,1
60,1
62,1
64,1
65,1
66,1
67,1
71,1
72,1
75,1
80,1
83,1
86,1
87,1
92,1
95,1
97,1
99,1
101,1
102,1
105,1
110,1
111,1
112,1
115,1
116,1
118,1
120,1
121,1
123,1
125,1
127,1
128,1
131,1
133,1
135,1
140,1
145,1
146,1
147,1
150,1
151,1
155,1
156,1
158,1
159,1
161,1
164,1
165,1
167,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
179,1
182,1
185,1
188,1
189,1
191,1
192,1
193,1
194,1
195,1
197,1
199,1
201,1
202,1
203,1
208,1
209,1
210,1
212,1
213,1
214,1
218,1
220,1
222,1
223,1
226,1
231,1
232,1
233,1
234,1
236,1
238,1
240,1
244,1
245,1
246,1
248,1
251,1
257,1
258,1
260,1
261,1
263,1
264,1
266,1
268,1
270,1
271,1
275,1
276,1
280,1
282,1
283,1
284,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
298,1
303,1
306,1
309,1
311,1
316,1
317,1
318,1
319,1
320,1
321,1
323,1
324,1
326,1
327,1
330,1
332,1
334,1
336,1
337,1
338,1
339,1
342,1
344,1
345,1
348,1
350,1
352,1
353,1
355,1
360,1
361,1
362,1
365,1
367,1
371,1
372,1
374,1
379,1
381,1
383,1
384,1
385,1
387,1
389,1
391,1
397,1
398,1
400,1
403,1
404,1
405,1
407,1
408,1
409,1
411,1
413,1
414,1
415,1
418,1
423,1
425,1
426,1
431,1
433,1
434,1
439,1
445,1
446,1
447,1
451,1
453,1
457,1
463,1
465,1
467,1
468,1
469,1
470,1
474,1
475,1
478,1
479,1
482,1
487,1
488,1
489,1
491,1
492,1
493,1
495,1
496,1
497,1
499,1
501,1
502,1
503,1
507,1
508,1
510,1
511,1
514,1
515,1
516,1
519,1
524,1
526,1
527,1
530,1
533,1
535,1
537,1
538,1
540,1
541,1
550,1
551,1
552,1
557,1
559,1
560,1
565,1
566,1
567,1
571,1
572,1
575,1
576,1
577,1
580,1
583,1
584,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
597,1
598,1
599,1
602,1
603,1
604,1
605,1
606,1
608,1
613,1
615,1
616,1
617,1
619,1
620,1
621,1
623,1
627,1
628,1
629,1
630,1
631,1
633,1
634,1
639,1
640,1
644,1
647,1
648,1
651,1
656,1
657,1
658,1
